validation_accuracy,validation_f1_weighted,validation_f1_macro
0.9935576105249824,0.7328605200945628,0.7328605200945628
0.9939557357172587,0.7764127764127764,0.7764127764127764
0.9942814745109394,0.7591240875912408,0.7591240875912408
0.9941728949130458,0.804177545691906,0.804177545691906
0.9943538609095351,0.8092783505154638,0.8092783505154638
0.9937385765214716,0.7917737789203085,0.7917737789203085
0.9935033207260355,0.8342245989304812,0.8342245989304812
0.9933223547295463,0.8288770053475936,0.8288770053475936
0.993629996923578,0.8201058201058201,0.8201058201058201
0.9939195425179609,0.823529411764706,0.823529411764706
0.9933223547295463,0.8116710875331564,0.8116710875331564
0.9936119003239291,0.823529411764706,0.823529411764706
0.9944443439077797,0.824468085106383,0.824468085106383
0.9943357643098861,0.839572192513369,0.839572192513369
