Four,O
decades,O
ago,O
in,O
1985,O
",",O
alleles,O
of,O
apolipoprotein,O
E,O
(,O
ApoE,O
),O
ε2,O
/,O
ε3,O
/,O
ε4,O
became,O
famous,O
for,O
explaining,O
16,O
%,O
of,O
genetic,O
variance,O
in,O
low,O
-,O
density,O
lipoprotein,O
cholesterol,O
in,O
the,O
benchmark,O
study,O
of,O
Sing,O
and,O
Davignon,O
(,O
1,O
):,O
total,O
blood,O
cholesterol,O
",",O
low,O
-,O
density,O
lipoprotein,O
cholesterol,O
",",O
and,O
apolipoprotein,O
B,O
were,O
elevated,O
by,O
ApoE,O
ε4,O
(,O
ApoE4,O
),O
allele,O
and,O
lowered,O
by,O
ApoE,O
ε2,O
(,O
ApoE2,O
),O
.,O
Preexisting,O
morbidities,O
increase,O
risk,O
of,O
COVID-19,O
infections,O
and,O
mortality,O
:,O
for,O
young,O
adults,O
:,O
diabetes,O
and,O
obesity,O
;,O
for,O
older,O
people,O
:,O
diabetes,O
and,O
dementia,O
(,O
"14,15",O
),O
.,O
COVID-19,O
also,O
damages,O
the,O
cardiovascular,O
system,O
with,O
atrial,O
fibrillation,O
",",O
ventricular,O
arrhythmia,O
",",O
and,O
disseminated,O
coagulation,O
(,O
16,O
),O
.,O
These,O
morbidities,O
are,O
also,O
associated,O
with,O
variants,O
in,O
the,O
ApoE,O
gene,O
cluster,O
that,O
we,O
hypothesize,O
are,O
relevant,O
to,O
COVID-19,O
.,O
ApoE4,O
homozygotes,O
have,O
2.2,O
-,O
fold,O
higher,O
risk,O
for,O
COVID-19,O
positivity,O
and,O
4.3,O
-,O
fold,O
more,O
case,O
-,O
fatality,O
after,O
COVID-19,O
than,O
ApoE3,O
homozygotes,O
(,O
"17,18",O
),O
.,O
Heterozygosity,O
(,O
ε3,O
/,O
ε4,O
),O
was,O
modestly,O
associated,O
with,O
COVID-19,O
below,O
linear,O
dose,O
dependence,O
.,O
Strong,O
associations,O
for,O
ε4,O
/,O
ε4,O
with,O
COVID-19,O
were,O
not,O
diminished,O
by,O
excluding,O
dementia,O
",",O
hypertension,O
",",O
coronary,O
heart,O
disease,O
(,O
CHD,O
),O
",",O
or,O
type,O
II,O
diabetes,O
.,O
Based,O
on,O
these,O
associations,O
",",O
Kuo,O
et,O
al,O
.,O
hypothesize,O
that,O
ApoE4,O
has,O
recessive,O
effects,O
on,O
COVID-19,O
outcomes,O
and,O
suggest,O
that,O
these,O
effects,O
are,O
independent,O
of,O
these,O
common,O
age,O
-,O
related,O
diseases,O
.,O
We,O
discuss,O
how,O
ApoE,O
allele,O
pleiotropies,O
can,O
mediate,O
COVID-19,O
infectivity,O
and,O
survival,O
.,O
We,O
hypothesize,O
that,O
ApoE4,O
associations,O
with,O
COVID-19,O
extend,O
to,O
the,O
ApoE,O
gene,O
complex,O
with,O
balancing,O
detrimental,O
and,O
protective,O
effects,O
in,O
haplotypes,O
",",O
and,O
multiple,O
gene,O
-,O
by,O
-,O
gene,O
transcriptional,O
interactions,O
(,O
28,O
),O
.,O
This,O
approach,O
could,O
identify,O
protective,O
genes,O
for,O
COVID-19,O
.,O
ApoE2,O
also,O
merits,O
consideration,O
in,O
COVID-19,O
",",O
given,O
its,O
benefit,O
to,O
CVD,O
and,O
AD,O
.,O
Several,O
ApoE,O
cluster,O
genes,O
may,O
interact,O
with,O
COVID-19,O
",",O
for,O
example,O
",",O
NECTIN2,O
(,O
