Thus,O
",",O
to,O
better,O
understand,O
the,O
emergence,O
of,O
the,O
recent,O
SARS‐CoV‐2,O
epidemic,O
in,O
Italy,O
",",O
we,O
analyzed,O
a,O
larger,O
and,O
updated,O
dataset,O
of,O
recently,O
released,O
data,O
of,O
the,O
COVID‐2019,O
epidemic,O
to,O
improve,O
more,O
effective,O
intervention,O
strategies,O
.,O
The,O
dataset,O
comprised,O
(,O
n,O
 ,O
=,O
 ,O
141,O
),O
complete,O
genomes,O
sequences,O
from,O
the,O
current,O
(,O
2019‐2020,O
),O
SARS‐CoV‐2,O
epidemic,O
retrieved,O
from,O
GISAID,S-Dataset
 ,O
(,O
https://www.gisaid.org/,S-URL
),O
database,O
.,O
The,O
complete,O
dataset,O
was,O
assessed,O
for,O
the,O
presence,O
of,O
phylogenetic,O
signal,O
by,O
applying,O
the,O
likelihood,O
mapping,O
analysis,O
implemented,O
in,O
the,O
IQ‐TREE,O
1.6.8,O
software,O
(,O
http://www.iqtree.org,O
),O
.,O
To,O
better,O
understand,O
the,O
establishment,O
and,O
transmission,O
of,O
the,O
novel,O
SARS‐CoV‐2,O
in,O
Italy,O
",",O
the,O
recent,O
Italian,O
genomes,O
available,O
on,O
the,O
GISAID,S-Dataset
 ,O
database,O
were,O
added,O
to,O
a,O
dataset,O
of,O
138,O
SARS‐CoV‐2,O
genomes,O
from,O
the,O
global,O
epidemic,O
.,O
Phylogenetic,O
inference,O
robustness,O
will,O
be,O
improved,O
if,O
other,O
genomic,O
sequences,O
will,O
be,O
available,O
to,O
build,O
an,O
even,O
more,O
informative,O
dataset,O
despite,O
the,O
low,O
heterogeneity,O
of,O
the,O
sequenced,O
strains,O
.,O
It,O
was,O
designated,O
as,O
coronavirus,O
disease,O
2019,O
(,O
COVID-19,O
),O
by,O
the,O
World,O
Health,O
Organization,O
(,O
WHO,O
),O
[,O
3,O
],O
.,O
In,O
late,O
January,O
2020,O
",",O
WHO,O
declared,O
the,O
outbreak,O
a,O
global,O
pandemic,O
with,O
cases,O
in,O
more,O
than,O
45,O
countries,O
where,O
the,O
COVID-19,O
was,O
spreading,O
fast,O
outside,O
China,O
",",O
most,O
significantly,O
in,O
South,O
Korea,O
",",O
Italy,O
",",O
and,O
Iran,O
with,O
over,O
"2,924",O
deaths,O
and,O
"85,212",O
cases,O
confirmed,O
while,O
"39,537",O
recovered,O
on,O
29,O
February,O
2020,O
",",O
06:05,O
 ,O
AM,O
(,O
GMT,O
),O
.,O
COVID-19,O
is,O
a,O
positive,O
-,O
sense,O
single,O
-,O
stranded,O
RNA,O
virus,O
(,O
+,O
ssRNA,O
),O
.,O
The,O
phylogenetic,O
analysis,O
indicates,O
that,O
COVID-19,O
likely,O
originated,O
from,O
bats,O
[,O
15,O
],O
.,O
The,O
sequence,O
of,O
COVID-19,O
RBD,O
",",O
together,O
with,O
its,O
RBM,O
that,O
contacts,O
receptor,O
angiotensin,O
-,O
converting,O
enzyme,O
2,O
(,O
ACE2,O
),O
",",O
was,O
found,O
similar,O
to,O
that,O
of,O
SARS,O
coronavirus,O
.,O
In,O
January,O
2020,O
",",O
a,O
group,O
of,O
scientists,O
demonstrated,O
that,O
ACE2,O
could,O
act,O
as,O
the,O
receptor,O
for,O
COVID-19,O
[,O
17–21,O
],O
.,O
However,O
",",O
COVID-19,O
differs,O
from,O
other,O
previous,O
strains,O
in,O
having,O
several,O
critical,O
residues,O
at,O
the,O
2019,O
-,O
nCoV,O
receptor,O
-,O
binding,O
motif,O
(,O
particularly,O
Gln493,O
),O
which,O
provide,O
advantageous,O
interactions,O
with,O
human,O
ACE2,O
[,O
15,O
],O
.,O
At,O
present,O
",",O
there,O
is,O
no,O
vaccine,O
or,O
approved,O
treatment,O
for,O
humans,O
",",O
but,O
Chinese,O
traditional,O
medicines,O
",",O
such,O
as,O
ShuFengJieDu,O
capsules,O
and,O
Lianhuaqingwen,O
capsules,O
",",O
could,O
be,O
possible,O
treatments,O
for,O
COVID-19,O
.,O
Sequences,O
of,O
proposed,O
epitopes,O
were,O
selected,O
from,O
the,O
COVID-19,O
reference,O
sequence,O
using,O
UCSF,O
Chimera,O
1.10,O
and,O
saved,O
as,O
a,O
PDB,S-Repository
 ,O
file,O
.,O
Sequence,O
alignment,O
of,O
the,O
COVID-19,O
envelope,O
protein,O
